Category,Metric,Value,Method
Kinematic Fidelity,safd_wasserstein,0.00035642462722749936,CSDI
Kinematic Fidelity,vsp_kl_divergence,0.04852664750503027,CSDI
Kinematic Fidelity,vsp_wasserstein,2.3423464108109164,CSDI
Kinematic Fidelity,ldlj_wasserstein,1.8342820983169819,CSDI
Kinematic Fidelity,jerk_max_mean_synth,1.1435700721261046,CSDI
Statistical Fidelity,speed_wasserstein,0.7330073189795264,CSDI
Statistical Fidelity,accel_wasserstein,0.14990944743488685,CSDI
Statistical Fidelity,mmd,0.009903056238438955,CSDI
Statistical Fidelity,speed_ks_statistic,0.0627889745894743,CSDI
Statistical Fidelity,accel_ks_statistic,0.09141862782776233,CSDI
Temporal Fidelity,tstr_mae,0.5608206804339918,CSDI
Temporal Fidelity,tstr_ratio,1.3020311600005001,CSDI
Boundary Conditions,boundary_any_violation_rate,0.0,CSDI
Boundary Conditions,boundary_start_speed_max,0.0,CSDI
Boundary Conditions,boundary_end_speed_max,0.0,CSDI
Physical Plausibility,phys_speed_violation_rate,0.0,CSDI
Physical Plausibility,phys_accel_violation_rate,0.04,CSDI
Physical Plausibility,phys_negative_speed_rate,0.0,CSDI
Utility,discriminative_score,0.49725526075022874,CSDI
Utility,discriminative_auc,0.999608518911276,CSDI
