Category,Metric,Value,Method
Kinematic Fidelity,safd_wasserstein,8.573213115287537e-05,CSDI
Kinematic Fidelity,vsp_kl_divergence,0.006333313136376333,CSDI
Kinematic Fidelity,vsp_wasserstein,0.5088414603075071,CSDI
Kinematic Fidelity,ldlj_wasserstein,0.8672655739333863,CSDI
Kinematic Fidelity,jerk_max_mean_synth,0.774606983780665,CSDI
Statistical Fidelity,speed_wasserstein,0.7592175949487501,CSDI
Statistical Fidelity,accel_wasserstein,0.02815038557261359,CSDI
Statistical Fidelity,mmd,0.00988368141115455,CSDI
Statistical Fidelity,speed_ks_statistic,0.04297051885784997,CSDI
Statistical Fidelity,accel_ks_statistic,0.03351497054572994,CSDI
Temporal Fidelity,tstr_mae,0.43173998553071485,CSDI
Temporal Fidelity,tstr_ratio,1.0023505441064404,CSDI
Boundary Conditions,boundary_any_violation_rate,0.0,CSDI
Boundary Conditions,boundary_start_speed_max,0.0,CSDI
Boundary Conditions,boundary_end_speed_max,0.0,CSDI
Physical Plausibility,phys_speed_violation_rate,0.0,CSDI
Physical Plausibility,phys_accel_violation_rate,0.01,CSDI
Physical Plausibility,phys_negative_speed_rate,0.0,CSDI
Utility,discriminative_score,0.49176578225068623,CSDI
Utility,discriminative_auc,0.9995519618239661,CSDI
