Category,Metric,Value,Method
Kinematic Fidelity,safd_wasserstein,0.00024601827786385934,CSDI
Kinematic Fidelity,vsp_kl_divergence,0.017987236467946238,CSDI
Kinematic Fidelity,vsp_wasserstein,1.287584469318273,CSDI
Kinematic Fidelity,ldlj_wasserstein,0.6547900540249161,CSDI
Kinematic Fidelity,jerk_max_mean_synth,0.7181823681687219,CSDI
Statistical Fidelity,speed_wasserstein,1.2460132770397911,CSDI
Statistical Fidelity,accel_wasserstein,0.05264103843336951,CSDI
Statistical Fidelity,mmd,0.011234506009345075,CSDI
Statistical Fidelity,speed_ks_statistic,0.07990686516914225,CSDI
Statistical Fidelity,accel_ks_statistic,0.04572398454694901,CSDI
Temporal Fidelity,tstr_mae,0.41329107254901676,CSDI
Temporal Fidelity,tstr_ratio,0.9595185651720688,CSDI
Boundary Conditions,boundary_any_violation_rate,0.0,CSDI
Boundary Conditions,boundary_start_speed_max,0.0,CSDI
Boundary Conditions,boundary_end_speed_max,0.0,CSDI
Physical Plausibility,phys_speed_violation_rate,0.0,CSDI
Physical Plausibility,phys_accel_violation_rate,0.0,CSDI
Physical Plausibility,phys_negative_speed_rate,0.0,CSDI
Utility,discriminative_score,0.49954254345837146,CSDI
Utility,discriminative_auc,1.0,CSDI
