Category,Metric,Value,Method
Kinematic Fidelity,safd_wasserstein,0.00025568837035432344,CSDI
Kinematic Fidelity,vsp_kl_divergence,0.010838768560941296,CSDI
Kinematic Fidelity,vsp_wasserstein,0.8569979484332028,CSDI
Kinematic Fidelity,ldlj_wasserstein,0.9437577410787792,CSDI
Kinematic Fidelity,jerk_max_mean_synth,0.7911449853785507,CSDI
Statistical Fidelity,speed_wasserstein,0.8948296874723264,CSDI
Statistical Fidelity,accel_wasserstein,0.056076579874423146,CSDI
Statistical Fidelity,mmd,0.009830628516315217,CSDI
Statistical Fidelity,speed_ks_statistic,0.07380285790552987,CSDI
Statistical Fidelity,accel_ks_statistic,0.05092381667663404,CSDI
Temporal Fidelity,tstr_mae,0.3997137810742356,CSDI
Temporal Fidelity,tstr_ratio,0.9279968021819914,CSDI
Boundary Conditions,boundary_any_violation_rate,0.0,CSDI
Boundary Conditions,boundary_start_speed_max,0.0,CSDI
Boundary Conditions,boundary_end_speed_max,0.0,CSDI
Physical Plausibility,phys_speed_violation_rate,0.0,CSDI
Physical Plausibility,phys_accel_violation_rate,0.011,CSDI
Physical Plausibility,phys_negative_speed_rate,0.0,CSDI
Utility,discriminative_score,0.4922232387923148,CSDI
Utility,discriminative_auc,0.9997861435136091,CSDI
