Category,Metric,Value,Method
Kinematic Fidelity,safd_wasserstein,0.000312854395979511,CSDI
Kinematic Fidelity,vsp_kl_divergence,0.05365279848141762,CSDI
Kinematic Fidelity,vsp_wasserstein,2.0234396373515353,CSDI
Kinematic Fidelity,ldlj_wasserstein,1.4655166756423206,CSDI
Kinematic Fidelity,jerk_max_mean_synth,0.9257867506219495,CSDI
Statistical Fidelity,speed_wasserstein,0.6738121171292495,CSDI
Statistical Fidelity,accel_wasserstein,0.12054920404735596,CSDI
Statistical Fidelity,mmd,0.009948480459020519,CSDI
Statistical Fidelity,speed_ks_statistic,0.04978653030651237,CSDI
Statistical Fidelity,accel_ks_statistic,0.10201567431262593,CSDI
Temporal Fidelity,tstr_mae,0.4555731771061055,CSDI
Temporal Fidelity,tstr_ratio,1.0576829509809627,CSDI
Boundary Conditions,boundary_any_violation_rate,0.0,CSDI
Boundary Conditions,boundary_start_speed_max,0.0,CSDI
Boundary Conditions,boundary_end_speed_max,0.0,CSDI
Physical Plausibility,phys_speed_violation_rate,0.0,CSDI
Physical Plausibility,phys_accel_violation_rate,0.006,CSDI
Physical Plausibility,phys_negative_speed_rate,0.0,CSDI
Utility,discriminative_score,0.4935956084172004,CSDI
Utility,discriminative_auc,0.9994229409685401,CSDI
