Category,Metric,Value,Method
Kinematic Fidelity,safd_wasserstein,0.000128846024391091,CSDI
Kinematic Fidelity,vsp_kl_divergence,0.011789561529382422,CSDI
Kinematic Fidelity,vsp_wasserstein,0.8518324398441645,CSDI
Kinematic Fidelity,ldlj_wasserstein,0.8430647142218544,CSDI
Kinematic Fidelity,jerk_max_mean_synth,0.7668185858685909,CSDI
Statistical Fidelity,speed_wasserstein,1.4090198948319783,CSDI
Statistical Fidelity,accel_wasserstein,0.027735508299929525,CSDI
Statistical Fidelity,mmd,0.010027742975809384,CSDI
Statistical Fidelity,speed_ks_statistic,0.07938536814581876,CSDI
Statistical Fidelity,accel_ks_statistic,0.029415406923717247,CSDI
Temporal Fidelity,tstr_mae,0.3989819281284178,CSDI
Temporal Fidelity,tstr_ratio,0.9262976934058038,CSDI
Boundary Conditions,boundary_any_violation_rate,0.0,CSDI
Boundary Conditions,boundary_start_speed_max,0.0,CSDI
Boundary Conditions,boundary_end_speed_max,0.0,CSDI
Physical Plausibility,phys_speed_violation_rate,0.0,CSDI
Physical Plausibility,phys_accel_violation_rate,0.006,CSDI
Physical Plausibility,phys_negative_speed_rate,0.0,CSDI
Utility,discriminative_score,0.4881061299176578,CSDI
Utility,discriminative_auc,0.998869741958289,CSDI
