trip_id,avg_speed_mps,max_speed_mps,std_speed_mps,idle_ratio,stops_per_km,accel_noise,cluster
31588,15.905376344086022,20.99,5.19800614362063,0.021505376344086023,0.6692108586001032,0.7636411631695587,0
31608,14.162464788732393,20.17,5.577578881408818,0.014084507042253521,0.4998100737668175,0.7060237273251511,0
31613,14.520084745762711,20.95,4.492457802969576,0.01694915254237288,0.576042628150266,0.6343514084493779,3
31614,17.782043795620435,24.78,4.578569534900229,0.0072992700729927005,0.2749112375336322,0.5392307076730339,3
31618,16.729400000000002,22.48,5.865796760884236,0.02,0.5972180929421623,0.6983371302420827,0
31620,19.10837320574163,23.66,5.5346393523190835,0.009569377990430622,0.2474355987492178,0.6791574248230727,3
31621,18.99542056074766,24.83,5.858938578934479,0.018691588785046728,0.4965658837643335,0.8123399697264035,0
31622,12.562686567164182,20.17,5.77866161803836,0.009950248756218905,0.466969600119036,0.7719967616512391,0
31625,13.864896551724136,20.51,4.318324406405061,0.006896551724137931,0.24940560786950455,0.6514508694399891,3
31626,17.113472222222224,21.16,4.8803671764536505,0.013888888888888888,0.4107862748343457,0.5608048661540821,3
31628,17.600666666666662,22.59,6.23736621767019,0.022222222222222223,0.6125109089988532,0.8539702386730617,0
31629,17.7221978021978,23.87,6.42307153291307,0.02197802197802198,0.625494602791457,0.7751171954399326,0
31630,17.170689655172417,21.91,4.606589493948322,0.008620689655172414,0.25023990430162246,0.5311532825125055,3
31647,14.438560606060607,20.1,5.5971551394809325,0.015151515151515152,0.523121040693279,0.6842380283127452,0
31650,15.947479452054795,22.12,5.981783002869078,0.005479452054794521,0.16629733473286387,0.4289406834168448,3
31651,15.166372549019608,21.37,5.8834996570194855,0.0196078431372549,0.6889810797936817,0.5884179157404679,0
31669,14.48546875,20.67,6.071871604396245,0.03125,1.1590648964606487,0.8685492373940454,2
31691,16.63216494845361,22.93,5.861329012026623,0.020618556701030927,0.6125109089988532,0.713674470609675,0
31692,15.976732673267328,21.65,5.593219924744264,0.019801980198019802,0.625494602791457,0.6638207589402428,0
31693,17.8575,21.29,4.026848967822002,0.008771929824561403,0.24729724717852844,0.486156371573124,3
31695,14.120465116279071,21.09,6.164741114293301,0.009966777408637873,0.2257144061413439,0.3690907747424744,3
31696,15.919999999999998,22.95,6.296440767340995,0.019801980198019802,0.6184132678851911,0.6594710001205512,0
31697,16.164520123839008,21.88,3.36567990758288,0.0030959752321981426,0.09543133596090575,0.3437711515691257,3
31719,14.484110429447853,20.35,4.225895081440035,0.006134969325153374,0.21465866442582998,0.47988524269229843,3
31722,17.019740932642488,21.68,4.487067592599035,0.010362694300518135,0.3032714155913142,0.473043118189734,3
31723,12.771196172248803,20.88,6.699756762333623,0.0430622009569378,0.8161336736711304,0.5290121417830087,0
31742,14.234399999999999,21.49,5.837764695497755,0.008,0.27796930971414396,0.5854864451975298,3
31743,16.43637583892617,24.61,5.299028050015634,0.013422818791946308,0.4123294164910025,0.6780317301034127,3
31744,18.146255319148935,24.45,6.777687267849527,0.01702127659574468,0.2320425811656799,0.5671136999914116,0
31746,16.779500000000002,25.29,5.49883798583341,0.011111111111111112,0.3171579803256356,0.6329914788450969,3
31754,19.96388888888889,27.29,6.535250483075856,0.0044444444444444444,0.10643928409540628,0.49767387645437294,1
31756,24.024367283950617,31.1,5.734412533090936,0.0030864197530864196,0.06411127932100469,0.42764850431545215,1
3176,24.090566483084185,32.77,6.549631745140857,0.0015735641227380016,0.032769145408813184,0.39997007762097153,1
31784,10.738877192982455,24.89,6.7249278717065275,0.007017543859649123,0.32545957210021914,0.5732007980887479,0
31792,17.852629063097513,27.84,8.79154039268276,0.0076481835564053535,0.1607775025892798,0.36747059902572526,1
31794,13.840775862068963,20.45,4.695968584835527,0.017241379310344827,0.6104364927361771,0.7219526661588785,0
31799,20.120287769784174,27.95,5.714486359563683,0.011990407673860911,0.2369934929551077,0.468445157285904,1
31801,15.984323725055432,24.38,5.243325451772618,0.004434589800443459,0.1334643410612692,0.590243640842962,3
31803,14.69689578713969,23.42,5.706433148420125,0.011086474501108648,0.1511544653500681,0.49789110813063886,3
31804,15.451153846153847,21.15,6.280042458775551,0.038461538461538464,1.2912350498763734,1.1842098383210933,2
31805,12.812222222222223,21.33,6.247895504594452,0.021164021164021163,0.8929392015694069,0.8480164590935821,0
31807,12.996504854368933,20.43,5.366564118472703,0.006472491909385114,0.2425834517632581,0.5346318067896529,3
31819,15.829529702970294,21.64,4.141394337182638,0.0049504950495049506,0.1529029353009188,0.4017980678710553,3
31821,15.705,20.64,5.427355036507903,0.019230769230769232,0.610586971982185,0.6404321963004768,0
31832,17.6057249070632,21.63,3.833907410964438,0.011152416356877323,0.21361096405403188,0.41908660452172913,3
31837,14.499642857142858,21.17,6.046693891318306,0.017857142857142856,0.6283527132757029,0.5943684664195047,0
31846,13.884166666666667,20.6,5.923152114560475,0.03333333333333333,1.2732110061383142,0.9175908027851697,2
31847,17.214973262032085,21.57,3.935517737934266,0.0106951871657754,0.317179980144737,0.5775495137736808,3
31848,17.803846153846152,23.1,5.782511857331338,0.019230769230769232,0.1328253593195969,0.4339651865444164,3
31856,16.309279279279277,21.47,5.342142113744684,0.018018018018018018,0.5521735329055723,0.6212143532849774,3
31857,15.041308016877638,20.92,4.932374533858556,0.008438818565400843,0.2825332591368866,0.7800331370623008,3
31863,23.93182948490231,30.84,6.671086310918743,0.003552397868561279,0.07416934287483998,0.4545162850556434,1
31895,28.38902854708138,33.9,5.12932341194133,0.0008521516829995739,0.014874150749222895,0.22828206778521448,1
31896,14.81627118644068,22.57,7.109326626270612,0.03389830508474576,1.312873487838965,0.9533660873723819,2
31897,17.481066666666667,22.96,6.813558555964391,0.02666666666666667,0.7166021933584918,0.9002161902505359,0
31898,16.20098039215686,20.87,4.851276466308296,0.013071895424836602,0.39495609545085875,0.7800624131574682,3
31904,11.2282602118003,21.52,5.36876894912724,0.0030257186081694403,0.13343725994067737,0.5271527292919955,3
31917,17.727515337423313,25.12,5.0611191102895186,0.006134969325153374,0.1722379204232186,0.6303361740434166,3
31937,19.945196078431373,26.43,6.74998456503568,0.0196078431372549,0.49083449252289096,0.7976897334747947,0
31938,16.528143939393942,22.6,4.8782366840845395,0.007575757575757576,0.22912530694408717,0.6169365010986404,3
